id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
376697,https://images.pexels.com/photos/376697/pexels-photo-376697.jpeg,https://images.pexels.com/photos/376697/pexels-photo-376697.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/376697/pexels-photo-376697.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/376697/pexels-photo-376697.jpeg?auto=compress&cs=tinysrgb&h=130,4256,2832,"Atlantic Ambience",https://www.pexels.com/@freestockpro,"Snowboards and skis lined up outdoors at a winter ski lodge, showcasing vibrant designs.","apres ski bar"
7357314,https://images.pexels.com/photos/7357314/pexels-photo-7357314.jpeg,https://images.pexels.com/photos/7357314/pexels-photo-7357314.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7357314/pexels-photo-7357314.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7357314/pexels-photo-7357314.jpeg?auto=compress&cs=tinysrgb&h=130,6720,4480,"cottonbro studio",https://www.pexels.com/@cottonbro,"Two women in winter attire enjoying hot beverages by the ski slopes at night.","apres ski bar"
7357317,https://images.pexels.com/photos/7357317/pexels-photo-7357317.jpeg,https://images.pexels.com/photos/7357317/pexels-photo-7357317.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/7357317/pexels-photo-7357317.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/7357317/pexels-photo-7357317.jpeg?auto=compress&cs=tinysrgb&h=130,5245,3497,"cottonbro studio",https://www.pexels.com/@cottonbro,"Women enjoying warm beverages by a fire outdoors on a snowy winter night.","apres ski bar"
20752231,https://images.pexels.com/photos/20752231/pexels-photo-20752231.jpeg,https://images.pexels.com/photos/20752231/pexels-photo-20752231.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/20752231/pexels-photo-20752231.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/20752231/pexels-photo-20752231.jpeg?auto=compress&cs=tinysrgb&h=130,5788,3256,"Phil Evenden",https://www.pexels.com/@philevenphotos,"A snowy winter scene at Plan de l'Aiguille in Chamonix, featuring a mountain bar and bundled-up visitors.","apres ski bar"
34137296,https://images.pexels.com/photos/34137296/pexels-photo-34137296.jpeg,https://images.pexels.com/photos/34137296/pexels-photo-34137296.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/34137296/pexels-photo-34137296.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/34137296/pexels-photo-34137296.jpeg?auto=compress&cs=tinysrgb&h=130,4640,6960,"Tobi &Chris",https://www.pexels.com/@tobiandchris,"Ski lift over snowy glacier in Kaunertal, Austria, showcasing winter adventure and alpine landscapes.","apres ski bar"
14287022,https://images.pexels.com/photos/14287022/pexels-photo-14287022.jpeg,https://images.pexels.com/photos/14287022/pexels-photo-14287022.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/14287022/pexels-photo-14287022.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/14287022/pexels-photo-14287022.jpeg?auto=compress&cs=tinysrgb&h=130,3648,5472,"Hiva Sobhani",https://www.pexels.com/@hiva-sobhani-160661076,"A kite surfer skillfully navigates the waves in Vancouver, capturing the thrill of water sports against a sunset backdrop.","apres ski bar"
32458414,https://images.pexels.com/photos/32458414/pexels-photo-32458414.jpeg,https://images.pexels.com/photos/32458414/pexels-photo-32458414.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/32458414/pexels-photo-32458414.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/32458414/pexels-photo-32458414.jpeg?auto=compress&cs=tinysrgb&h=130,5712,3213,"Geert Rozendom",https://www.pexels.com/@joepkoek,"Skiers enjoying a bright day at an Alpine ski resort, surrounded by snow and skiing gear.","apres ski bar"
30417378,https://images.pexels.com/photos/30417378/pexels-photo-30417378.jpeg,https://images.pexels.com/photos/30417378/pexels-photo-30417378.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30417378/pexels-photo-30417378.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30417378/pexels-photo-30417378.jpeg?auto=compress&cs=tinysrgb&h=130,1928,2892,"Nati",https://www.pexels.com/@nati-87264186,"Ski gear resting against a wooden wall with food images in a snowy ski resort setting.","apres ski bar"
22392831,https://images.pexels.com/photos/22392831/pexels-photo-22392831.jpeg,https://images.pexels.com/photos/22392831/pexels-photo-22392831.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/22392831/pexels-photo-22392831.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/22392831/pexels-photo-22392831.jpeg?auto=compress&cs=tinysrgb&h=130,4480,6720,"Maël  BALLAND",https://www.pexels.com/@toulouse,"Skiers gather by a stone cabin in the snowy Alps, enjoying a winter adventure.","apres ski bar"
20847311,https://images.pexels.com/photos/20847311/pexels-photo-20847311.jpeg,https://images.pexels.com/photos/20847311/pexels-photo-20847311.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/20847311/pexels-photo-20847311.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/20847311/pexels-photo-20847311.jpeg?auto=compress&cs=tinysrgb&h=130,6000,4000,"Sarah O'Shea",https://www.pexels.com/@sarah-o-shea-98049248,"Iconic Million Dollar Cowboy Bar with snow-covered streets in Jackson, Wyoming during winter.","apres ski bar"
