id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
417074,"https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/417074/pexels-photo-417074.jpeg?auto=compress&cs=tinysrgb&h=130",4226,2847,"James Wheeler","https://www.pexels.com/@souvenirpixels","Capture the serene beauty of Moraine Lake with sunrise reflections in Banff National Park.","colorado mountains"
221502,"https://images.pexels.com/photos/221502/pexels-photo-221502.jpeg","https://images.pexels.com/photos/221502/pexels-photo-221502.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/221502/pexels-photo-221502.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/221502/pexels-photo-221502.jpeg?auto=compress&cs=tinysrgb&h=130",2200,1283,"Pixabay","https://www.pexels.com/@pixabay","Picturesque cabin nestled in autumn landscape with mountain backdrop, ideal for serene retreats.","colorado mountains"
1324803,"https://images.pexels.com/photos/1324803/pexels-photo-1324803.jpeg","https://images.pexels.com/photos/1324803/pexels-photo-1324803.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1324803/pexels-photo-1324803.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/1324803/pexels-photo-1324803.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Matthew Montrone","https://www.pexels.com/@matthew-montrone-230847","Scenic sunrise view of forested mountain landscape in Alta, Utah, showcasing vibrant natural beauty.","colorado mountains"
30729291,"https://images.pexels.com/photos/30729291/pexels-photo-30729291.jpeg","https://images.pexels.com/photos/30729291/pexels-photo-30729291.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/30729291/pexels-photo-30729291.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/30729291/pexels-photo-30729291.jpeg?auto=compress&cs=tinysrgb&h=130",6960,4640,"Jacob Moore","https://www.pexels.com/@jacobmooreimages","Serene winter view of the foggy Rocky Mountains with snow-covered trees.","colorado mountains"
30729293,"https://images.pexels.com/photos/30729293/pexels-photo-30729293.jpeg","https://images.pexels.com/photos/30729293/pexels-photo-30729293.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/30729293/pexels-photo-30729293.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/30729293/pexels-photo-30729293.jpeg?auto=compress&cs=tinysrgb&h=130",6960,4640,"Jacob Moore","https://www.pexels.com/@jacobmooreimages","Breathtaking view of snow-capped mountains in the Colorado Rockies under a bright winter sky.","colorado mountains"
17480420,"https://images.pexels.com/photos/17480420/pexels-photo-17480420.jpeg","https://images.pexels.com/photos/17480420/pexels-photo-17480420.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/17480420/pexels-photo-17480420.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/17480420/pexels-photo-17480420.jpeg?auto=compress&cs=tinysrgb&h=130",7836,5227,"Gabe","https://www.pexels.com/@gabesphotos","A German Shorthaired Pointer stands on a rock by a lake with stunning mountain views in Idaho Springs, CO.","colorado mountains"
427900,"https://images.pexels.com/photos/427900/pexels-photo-427900.jpeg","https://images.pexels.com/photos/427900/pexels-photo-427900.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/427900/pexels-photo-427900.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/427900/pexels-photo-427900.jpeg?auto=compress&cs=tinysrgb&h=130",5477,3651,"Ryan Holloway","https://www.pexels.com/@ryan-holloway-71499","A lone silhouette against a vibrant red twilight sky in Colorado Springs.","colorado mountains"
242829,"https://images.pexels.com/photos/242829/pexels-photo-242829.jpeg","https://images.pexels.com/photos/242829/pexels-photo-242829.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/242829/pexels-photo-242829.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/242829/pexels-photo-242829.jpeg?auto=compress&cs=tinysrgb&h=130",2738,1826,"Ryan Holloway","https://www.pexels.com/@ryan-holloway-71499","Man on a vintage motorcycle in Colorado Springs with mountains in the background.","colorado mountains"
159884,"https://images.pexels.com/photos/159884/pexels-photo-159884.jpeg","https://images.pexels.com/photos/159884/pexels-photo-159884.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/159884/pexels-photo-159884.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/159884/pexels-photo-159884.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Dustin Cox","https://www.pexels.com/@dustin-cox-43327","Beautiful summer landscape with lush trees and water reflections in Colorado.","colorado mountains"
28891278,"https://images.pexels.com/photos/28891278/pexels-photo-28891278.jpeg","https://images.pexels.com/photos/28891278/pexels-photo-28891278.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/28891278/pexels-photo-28891278.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/28891278/pexels-photo-28891278.jpeg?auto=compress&cs=tinysrgb&h=130",5892,3928,"Sergey Guk","https://www.pexels.com/@gsn-travel","A picturesque view of the historic Crystal Mill surrounded by vibrant fall colors in Carbondale, Colorado.","colorado mountains"
1202047,"https://images.pexels.com/photos/1202047/pexels-photo-1202047.jpeg","https://images.pexels.com/photos/1202047/pexels-photo-1202047.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1202047/pexels-photo-1202047.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/1202047/pexels-photo-1202047.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Travis Saylor","https://www.pexels.com/@travis-saylor-271738","Breathtaking view of snow-capped mountains under dramatic clouds in Denver, Colorado.","colorado mountains"
144172,"https://images.pexels.com/photos/144172/pexels-photo-144172.jpeg","https://images.pexels.com/photos/144172/pexels-photo-144172.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/144172/pexels-photo-144172.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/144172/pexels-photo-144172.jpeg?auto=compress&cs=tinysrgb&h=130",4320,2432,"Sean M.","https://www.pexels.com/@seanm","Beautiful aerial view of Ouray, Colorado surrounded by lush trees and majestic mountains under a clear sky.","colorado mountains"
1101107,"https://images.pexels.com/photos/1101107/pexels-photo-1101107.jpeg","https://images.pexels.com/photos/1101107/pexels-photo-1101107.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1101107/pexels-photo-1101107.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/1101107/pexels-photo-1101107.jpeg?auto=compress&cs=tinysrgb&h=130",5568,3712,"Brett Sayles","https://www.pexels.com/@brett-sayles","A picturesque view of storm clouds looming over a peaceful mountain landscape, capturing nature's raw beauty.","colorado mountains"
3047493,"https://images.pexels.com/photos/3047493/pexels-photo-3047493.jpeg","https://images.pexels.com/photos/3047493/pexels-photo-3047493.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3047493/pexels-photo-3047493.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3047493/pexels-photo-3047493.jpeg?auto=compress&cs=tinysrgb&h=130",4669,3159,"Joshua Woroniecki","https://www.pexels.com/@joshuaworoniecki","Tranquil mountain lake in Breckenridge, Colorado surrounded by lush forests and scenic landscapes.","colorado mountains"
939479,"https://images.pexels.com/photos/939479/pexels-photo-939479.jpeg","https://images.pexels.com/photos/939479/pexels-photo-939479.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/939479/pexels-photo-939479.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/939479/pexels-photo-939479.jpeg?auto=compress&cs=tinysrgb&h=130",3216,2136,"Rod Dion","https://www.pexels.com/@dion4photo","Stunning landscape of Garden of the Gods in Colorado with rocky formations and clear skies.","colorado mountains"
32784547,"https://images.pexels.com/photos/32784547/pexels-photo-32784547.jpeg","https://images.pexels.com/photos/32784547/pexels-photo-32784547.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/32784547/pexels-photo-32784547.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/32784547/pexels-photo-32784547.jpeg?auto=compress&cs=tinysrgb&h=130",3872,2592,"Gary Godfrey","https://www.pexels.com/@gary-godfrey-521355561","Vibrant wildflower field with mountain backdrop in Silverthorne, Colorado.","colorado mountains"
3607934,"https://images.pexels.com/photos/3607934/pexels-photo-3607934.jpeg","https://images.pexels.com/photos/3607934/pexels-photo-3607934.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3607934/pexels-photo-3607934.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3607934/pexels-photo-3607934.jpeg?auto=compress&cs=tinysrgb&h=130",4000,2250,"Zachary DeBottis","https://www.pexels.com/@zachtheshoota","A winding road through a snow-covered mountain forest captured in a serene winter aerial view.","colorado mountains"
1036661,"https://images.pexels.com/photos/1036661/pexels-photo-1036661.jpeg","https://images.pexels.com/photos/1036661/pexels-photo-1036661.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1036661/pexels-photo-1036661.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/1036661/pexels-photo-1036661.jpeg?auto=compress&cs=tinysrgb&h=130",6016,4000,"Gotta Be Worth It","https://www.pexels.com/@myersmc16","Stunning view of Pikes Peak with snow and lush green forests in El Paso County, Colorado.","colorado mountains"
30729294,"https://images.pexels.com/photos/30729294/pexels-photo-30729294.jpeg","https://images.pexels.com/photos/30729294/pexels-photo-30729294.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/30729294/pexels-photo-30729294.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/30729294/pexels-photo-30729294.jpeg?auto=compress&cs=tinysrgb&h=130",6960,4640,"Jacob Moore","https://www.pexels.com/@jacobmooreimages","Stunning snow-covered Rocky Mountains with evergreen forest in winter landscape.","colorado mountains"
30729292,"https://images.pexels.com/photos/30729292/pexels-photo-30729292.jpeg","https://images.pexels.com/photos/30729292/pexels-photo-30729292.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/30729292/pexels-photo-30729292.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/30729292/pexels-photo-30729292.jpeg?auto=compress&cs=tinysrgb&h=130",6960,4640,"Jacob Moore","https://www.pexels.com/@jacobmooreimages","A breathtaking view of the snow-covered Rocky Mountains during winter sunset, capturing nature's tranquility.","colorado mountains"
879443,"https://images.pexels.com/photos/879443/pexels-photo-879443.jpeg","https://images.pexels.com/photos/879443/pexels-photo-879443.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/879443/pexels-photo-879443.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/879443/pexels-photo-879443.jpeg?auto=compress&cs=tinysrgb&h=350",5184,3456,"Shashank Kumawat","https://www.pexels.com/@shashank","Stunning view of snow-capped mountains under a cloudy sky in Leh, India.","rocky mountains"
1036660,"https://images.pexels.com/photos/1036660/pexels-photo-1036660.jpeg","https://images.pexels.com/photos/1036660/pexels-photo-1036660.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1036660/pexels-photo-1036660.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/1036660/pexels-photo-1036660.jpeg?auto=compress&cs=tinysrgb&h=350",6016,2789,"Gotta Be Worth It","https://www.pexels.com/@myersmc16","Scenic view of snow-capped mountains and forest in Larimer County, Colorado.","rocky mountains"
552785,"https://images.pexels.com/photos/552785/pexels-photo-552785.jpeg","https://images.pexels.com/photos/552785/pexels-photo-552785.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/552785/pexels-photo-552785.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/552785/pexels-photo-552785.jpeg?auto=compress&cs=tinysrgb&h=350",6960,4055,"Krivec Ales","https://www.pexels.com/@dreamypixel","Capture of a tranquil mountain range at dawn with misty valleys and rocky peaks.","rocky mountains"
266986,"https://images.pexels.com/photos/266986/pexels-photo-266986.jpeg","https://images.pexels.com/photos/266986/pexels-photo-266986.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/266986/pexels-photo-266986.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/266986/pexels-photo-266986.jpeg?auto=compress&cs=tinysrgb&h=350",5184,3888,"Pixabay","https://www.pexels.com/@pixabay","Majestic view of snow-capped Rocky Mountains under a cloudy sky in Banff National Park, Alberta.","rocky mountains"
1109967,"https://images.pexels.com/photos/1109967/pexels-photo-1109967.jpeg","https://images.pexels.com/photos/1109967/pexels-photo-1109967.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1109967/pexels-photo-1109967.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/1109967/pexels-photo-1109967.jpeg?auto=compress&cs=tinysrgb&h=350",5472,3648,"eberhard grossgasteiger","https://www.pexels.com/@eberhardgross","Dramatic mountain landscape scene with fog and rocky terrain under clear daylight.","rocky mountains"
1574183,"https://images.pexels.com/photos/1574183/pexels-photo-1574183.jpeg","https://images.pexels.com/photos/1574183/pexels-photo-1574183.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1574183/pexels-photo-1574183.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/1574183/pexels-photo-1574183.jpeg?auto=compress&cs=tinysrgb&h=350",3000,1993,"James Wheeler","https://www.pexels.com/@souvenirpixels","Stunning view of a mountain reflecting in a calm lake during sunset in Banff National Park.","rocky mountains"
165779,"https://images.pexels.com/photos/165779/pexels-photo-165779.jpeg","https://images.pexels.com/photos/165779/pexels-photo-165779.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/165779/pexels-photo-165779.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/165779/pexels-photo-165779.jpeg?auto=compress&cs=tinysrgb&h=350",4287,2848,"Scott Webb","https://www.pexels.com/@scottwebb","Breathtaking view of snow-capped Rocky Mountains under a bright blue sky.","rocky mountains"
1463975,"https://images.pexels.com/photos/1463975/pexels-photo-1463975.jpeg","https://images.pexels.com/photos/1463975/pexels-photo-1463975.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1463975/pexels-photo-1463975.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/1463975/pexels-photo-1463975.jpeg?auto=compress&cs=tinysrgb&h=350",2992,2000,"Spencer Gurley Films","https://www.pexels.com/@spencergurley","Breathtaking view of snow-capped peaks and lush green hills in Montezuma, Colorado.","colorado alpine"
1202040,"https://images.pexels.com/photos/1202040/pexels-photo-1202040.jpeg","https://images.pexels.com/photos/1202040/pexels-photo-1202040.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1202040/pexels-photo-1202040.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/1202040/pexels-photo-1202040.jpeg?auto=compress&cs=tinysrgb&h=350",6000,4000,"Travis Saylor","https://www.pexels.com/@travis-saylor-271738","Scenic view of mountains under a clear blue sky with lush greenery, near Denver, CO.","colorado alpine"
969260,"https://images.pexels.com/photos/969260/pexels-photo-969260.jpeg","https://images.pexels.com/photos/969260/pexels-photo-969260.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/969260/pexels-photo-969260.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/969260/pexels-photo-969260.jpeg?auto=compress&cs=tinysrgb&h=350",4323,2882,"David Besh","https://www.pexels.com/@david-besh","Beautiful stone chapel nestled against a snow-capped Rocky Mountain in Estes Park, Colorado.","colorado alpine"
3390974,"https://images.pexels.com/photos/3390974/pexels-photo-3390974.jpeg","https://images.pexels.com/photos/3390974/pexels-photo-3390974.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3390974/pexels-photo-3390974.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/3390974/pexels-photo-3390974.jpeg?auto=compress&cs=tinysrgb&h=350",6428,4285,"JoEllen Moths","https://www.pexels.com/@joellen-moths-1800970","Explore a stunning mountain peak against a vibrant sky, showcasing Colorado's natural beauty.","colorado alpine"
959912,"https://images.pexels.com/photos/959912/pexels-photo-959912.jpeg","https://images.pexels.com/photos/959912/pexels-photo-959912.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/959912/pexels-photo-959912.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/959912/pexels-photo-959912.jpeg?auto=compress&cs=tinysrgb&h=350",9000,6000,"Tim Mossholder","https://www.pexels.com/@timmossholder","Tranquil misty mountain landscape with coniferous trees in Ridgway, Colorado.","colorado alpine"
28943291,"https://images.pexels.com/photos/28943291/pexels-photo-28943291.jpeg","https://images.pexels.com/photos/28943291/pexels-photo-28943291.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/28943291/pexels-photo-28943291.jpeg?auto=compress&cs=tinysrgb&h=650&w=940","https://images.pexels.com/photos/28943291/pexels-photo-28943291.jpeg?auto=compress&cs=tinysrgb&h=350",7008,4672,"Luke Miller","https://www.pexels.com/@bylukemiller","Majestic snow-capped mountains under cloudy skies, showcasing natural grandeur in winter.","colorado peaks"
