id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
34645062,"https://images.pexels.com/photos/34645062/pexels-photo-34645062.jpeg","https://images.pexels.com/photos/34645062/pexels-photo-34645062.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34645062/pexels-photo-34645062.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34645062/pexels-photo-34645062.jpeg?auto=compress&cs=tinysrgb&h=130",3008,2000,"Moussa Idrissi","https://www.pexels.com/@mographe","","hotel bedroom cozy"
34636325,"https://images.pexels.com/photos/34636325/pexels-photo-34636325.jpeg","https://images.pexels.com/photos/34636325/pexels-photo-34636325.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34636325/pexels-photo-34636325.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34636325/pexels-photo-34636325.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Franco Garcia","https://www.pexels.com/@francogarciafilms","Inviting interior with curtains and a warm lamp view in San Carlos de Bariloche, Argentina.","hotel bedroom cozy"
34636330,"https://images.pexels.com/photos/34636330/pexels-photo-34636330.jpeg","https://images.pexels.com/photos/34636330/pexels-photo-34636330.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34636330/pexels-photo-34636330.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34636330/pexels-photo-34636330.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Franco Garcia","https://www.pexels.com/@francogarciafilms","Inviting hotel room scene with neatly folded towels on bed.","hotel bedroom cozy"
34636332,"https://images.pexels.com/photos/34636332/pexels-photo-34636332.jpeg","https://images.pexels.com/photos/34636332/pexels-photo-34636332.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34636332/pexels-photo-34636332.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34636332/pexels-photo-34636332.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Franco Garcia","https://www.pexels.com/@francogarciafilms","Inviting minimalist bedroom interior in San Carlos de Bariloche, featuring soft pillows and towels on a neatly made bed.","hotel bedroom cozy"
34636328,"https://images.pexels.com/photos/34636328/pexels-photo-34636328.jpeg","https://images.pexels.com/photos/34636328/pexels-photo-34636328.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34636328/pexels-photo-34636328.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34636328/pexels-photo-34636328.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Franco Garcia","https://www.pexels.com/@francogarciafilms","Inviting bedroom in San Carlos de Bariloche with towels on a bed and soft natural light through the window.","hotel bedroom cozy"
34636327,"https://images.pexels.com/photos/34636327/pexels-photo-34636327.jpeg","https://images.pexels.com/photos/34636327/pexels-photo-34636327.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34636327/pexels-photo-34636327.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34636327/pexels-photo-34636327.jpeg?auto=compress&cs=tinysrgb&h=130",5963,3975,"Franco Garcia","https://www.pexels.com/@francogarciafilms","Inviting twin bedroom with a warm ambiance, perfect for relaxation in Bariloche.","hotel bedroom cozy"
34628299,"https://images.pexels.com/photos/34628299/pexels-photo-34628299.jpeg","https://images.pexels.com/photos/34628299/pexels-photo-34628299.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34628299/pexels-photo-34628299.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34628299/pexels-photo-34628299.jpeg?auto=compress&cs=tinysrgb&h=130",4080,3060,"Liz Henderson","https://www.pexels.com/@liz-henderson-1585908276","Luxury Hotel Bedroom","hotel bedroom cozy"
271639,"https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/271639/pexels-photo-271639.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3930,"Pixabay","https://www.pexels.com/@pixabay","A soft-lit hotel room entrance, welcoming guests with luxury appeal and comfort.","hotel bedroom cozy"
164595,"https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Pixabay","https://www.pexels.com/@pixabay","Cozy and modern hotel bedroom interior with elegant decor and soft lighting.","hotel bedroom cozy"
271624,"https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg","https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3748,"Pixabay","https://www.pexels.com/@pixabay","Spacious modern hotel room featuring cozy decor and neutral tones with natural light.","hotel bedroom cozy"
