id,url,caption,hotel_id,hotel_name,is_main,source
"lp656eafa2-0","https://static.cupid.travel/hotels/570128559.jpg","building","lp656eafa2","2 BR Condominium - Luxury Skiin and out (rare to find)",true,"liteapi"
"lp656c8c0c-0","https://static.cupid.travel/hotels/ex_4c6ddec9_z.jpg","building","lp656c8c0c","2-min Walk To Lift 7, Shuttle To Gondola! Hot Tub + Fireplace 3 Bedroom Condo by RedAwning",true,"liteapi"
"lp6575d72a-0","https://static.cupid.travel/hotels/450266017.jpg","building","lp6575d72a","2BR Mountain Lodge Luxury Skiin out Best Amenities",true,"liteapi"
"lp656c735f-0","https://static.cupid.travel/hotels/ex_19f8f074_z.jpg","building","lp656c735f","330 W Pacific B 3 Bedroom Townhouse by RedAwning",true,"liteapi"
"lp656e1ed3-0","https://static.cupid.travel/hotels/492978300.jpg","building","lp656e1ed3","330 W Pacific B townhouse",true,"liteapi"
"lp656e6e23-0","https://static.cupid.travel/hotels/599922311.jpg","building","lp656e6e23","3br 3 1 2Ba Center of Everything New Listing On Our New Home",true,"liteapi"
"lp656c736c-0","https://static.cupid.travel/hotels/ex_85a709ab_z.jpg","building","lp656c736c","425 Depot Ave 5 Bedroom Home by RedAwning",true,"liteapi"
"lpa0625-0","https://static.cupid.travel/hotels/ex_c93abf6f_z.jpg","building","lpa0625","A Village Suite 348 3 Bedroom Condo By Accommodations in Telluride",true,"liteapi"
"lp65868c47-0","https://static.cupid.travel/hotels/ex_f4e3ef50_z.jpg","","lp65868c47","Absolutely Amazing Slopeside Mountain Lodge With spa",true,"liteapi"
"lp65584fc8-0","https://static.cupid.travel/hotels/ex_e2d5ee04_z.jpg","building","lp65584fc8","Adams Ranch Retreat by Avantstay Free Shuttle 2 Mountain Village & Telluride Ski Resort!",true,"liteapi"
"lp657295ff-0","https://static.cupid.travel/hotels/ex_f84ca91e_z.jpg","building","lp657295ff","Ajax Loft 1 Bedroom Apts by RedAwning",true,"liteapi"
"lp658752a2-0","https://static.cupid.travel/hotels/ex_06a3b128_z.jpg","","lp658752a2","Alpine Lodging Telluride Ski Resort",true,"liteapi"
"lp65865151-0","https://static.cupid.travel/hotels/ex_429be782_z.jpg","","lp65865151","Alpine Lodging Telluride Ski Resort - Vacation Rentals",true,"liteapi"
"lp65584fb3-0","https://static.cupid.travel/hotels/ex_31aa49ec_z.jpg","building","lp65584fb3","Apex by Avantstay Cozy Expansive Mountain Home Close to the Slopes w/ Hot Tub!",true,"liteapi"
"lp656c5e5d-0","https://static.cupid.travel/hotels/ex_c3e05445_z.jpg","","lp656c5e5d","Aspen Ridge 2 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp656c5990-0","https://static.cupid.travel/hotels/ex_1e71fe43_z.jpg","","lp656c5990","Aspen Ridge 24 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp656c5d2e-0","https://static.cupid.travel/hotels/ex_2540e545_z.jpg","","lp656c5d2e","Aspen Ridge 27 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lpffc70-0","https://static.cupid.travel/hotels/426253403.jpg","building","lpffc70","Aspen Ridge 27 by Alpine Lodging Telluride",true,"liteapi"
"lp656c5d41-0","https://static.cupid.travel/hotels/ex_18f2ab3a_z.jpg","","lp656c5d41","Aspen Ridge 3 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp656c5983-0","https://static.cupid.travel/hotels/ex_c442a197_z.jpg","","lp656c5983","Aspen Ridge 31 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lpfeec8-0","https://static.cupid.travel/hotels/ex_ac336698_z.jpg","building","lpfeec8","Aspen Ridge 32",true,"liteapi"
"lp656f44ce-0","https://static.cupid.travel/hotels/ex_a5d111b2_z.jpg","building","lp656f44ce","Aspen Ridge 32 - 2 bedroom 2 Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp656c5d9b-0","https://static.cupid.travel/hotels/ex_dec3c464_z.jpg","building","lp656c5d9b","Aspen Ridge 4 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp65576346-0","https://static.cupid.travel/hotels/426200234.jpg","building","lp65576346","Aspen Ridge 4 by Alpine Lodging Telluride",true,"liteapi"
"lp656c5986-0","https://static.cupid.travel/hotels/ex_9a28c546_z.jpg","","lp656c5986","Aspen Ridge 6 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lp41007-0","https://static.cupid.travel/hotels/426253562.jpg","building","lp41007","Aspen Ridge 6 by Alpine Lodging Telluride",true,"liteapi"
"lp656c5d67-0","https://static.cupid.travel/hotels/ex_6f629a8b_z.jpg","","lp656c5d67","Aspen Ridge 7 3 Bedroom Townhouse by Alpine Lodging Telluride",true,"liteapi"
"lpc6edd-0","https://static.cupid.travel/hotels/299965351.jpg","building","lpc6edd","Bachman Village",true,"liteapi"
"lp656f59b2-0","https://static.cupid.travel/hotels/601025631.jpg","building","lp656f59b2","Bachman Village #9 - backyard and steps to skiing!",true,"liteapi"
"lp655838e1-0","https://static.cupid.travel/hotels/ex_403cd59e_z.jpg","building","lp655838e1","Bachman Village 14 by Avantstay Close To Town & The Slopes w/ Hot Tub! Permit#12038",true,"liteapi"
"lp6587430f-0","https://static.cupid.travel/hotels/ex_fbad9a4d_z.jpg","","lp6587430f","Bachman Village 14 by Avantstay Close To Town The Slopes w Hot Tub Permit 12038",true,"liteapi"
"lpa05ed-0","https://static.cupid.travel/hotels/ex_ddcf6636_z.jpg","building","lpa05ed","Bachman Village 19 4 Bedroom Holiday home By Accommodations in Telluride",true,"liteapi"
"lp656c5dd6-0","https://static.cupid.travel/hotels/ex_b41efa6b_z.jpg","building","lp656c5dd6","Back Door Ski In/out Fireplace, Hot Tub, Huge Views Alpine Luxury At Copper Hollow 6 Bedroom Home by RedAwning",true,"liteapi"
"lp65721472-0","https://static.cupid.travel/hotels/509910562.jpg","building","lp65721472","Basecamp at Valley Floor - views and wildlife!",true,"liteapi"
"lp656c95f0-0","https://static.cupid.travel/hotels/ex_fbd04b36_z.jpg","recepcion & lobby","lp656c95f0","Bear Creek Lodge 105 2 Bedroom Condo by Alpine Lodging Telluride",true,"liteapi"
"lp657119df-0","https://static.cupid.travel/hotels/500516478.jpg","recepcion & lobby","lp657119df","Bear Creek Lodge 105 by Alpine Lodging Telluride",true,"liteapi"
