id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
2373201,"https://images.pexels.com/photos/2373201/pexels-photo-2373201.jpeg","https://images.pexels.com/photos/2373201/pexels-photo-2373201.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2373201/pexels-photo-2373201.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2373201/pexels-photo-2373201.jpeg?auto=compress&cs=tinysrgb&h=130",5527,3948,"Colon Freld","https://www.pexels.com/@gapeppy1","Experience luxury relaxation at a poolside resort in Cabo San Lucas, Mexico.","hotel spa luxury"
338504,"https://images.pexels.com/photos/338504/pexels-photo-338504.jpeg","https://images.pexels.com/photos/338504/pexels-photo-338504.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/338504/pexels-photo-338504.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/338504/pexels-photo-338504.jpeg?auto=compress&cs=tinysrgb&h=130",3000,2000,"Thorsten technoman","https://www.pexels.com/@thorsten-technoman-109353","Experience ultimate relaxation at a sunlit tropical poolside resort featuring palm trees and blue skies.","hotel spa luxury"
2507014,"https://images.pexels.com/photos/2507014/pexels-photo-2507014.jpeg","https://images.pexels.com/photos/2507014/pexels-photo-2507014.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2507014/pexels-photo-2507014.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2507014/pexels-photo-2507014.jpeg?auto=compress&cs=tinysrgb&h=130",4000,2000,"Quark Studio","https://www.pexels.com/@quark-studio-1159039","Luxurious minimalist bathroom with ocean view through large windows in Bodrum, Turkey, ideal for relaxation and design inspiration.","hotel spa luxury"
2403017,"https://images.pexels.com/photos/2403017/pexels-photo-2403017.jpeg","https://images.pexels.com/photos/2403017/pexels-photo-2403017.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2403017/pexels-photo-2403017.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2403017/pexels-photo-2403017.jpeg?auto=compress&cs=tinysrgb&h=130",3992,2992,"Manuel Barros","https://www.pexels.com/@manuel-barros-1263073","Aerial view of a luxury resort pool surrounded by villas and palm trees.","hotel spa luxury"
2134224,"https://images.pexels.com/photos/2134224/pexels-photo-2134224.jpeg","https://images.pexels.com/photos/2134224/pexels-photo-2134224.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2134224/pexels-photo-2134224.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2134224/pexels-photo-2134224.jpeg?auto=compress&cs=tinysrgb&h=130",4104,2736,"Quang Nguyen Vinh","https://www.pexels.com/@quang-nguyen-vinh-222549","Elegant bathroom showcasing a modern marble tub and wooden interior for a serene escape.","hotel spa luxury"
1304110,"https://images.pexels.com/photos/1304110/pexels-photo-1304110.jpeg","https://images.pexels.com/photos/1304110/pexels-photo-1304110.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/1304110/pexels-photo-1304110.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/1304110/pexels-photo-1304110.jpeg?auto=compress&cs=tinysrgb&h=130",4290,2887,"Rodolpho Zanardo","https://www.pexels.com/@rodolphozanardo","Luxurious white towels adorned with golden ribbons on a bed, creating an elegant and welcoming atmosphere.","hotel spa luxury"
6957079,"https://images.pexels.com/photos/6957079/pexels-photo-6957079.jpeg","https://images.pexels.com/photos/6957079/pexels-photo-6957079.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6957079/pexels-photo-6957079.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6957079/pexels-photo-6957079.jpeg?auto=compress&cs=tinysrgb&h=130",7360,4912,"Max Vakhtbovycn","https://www.pexels.com/@heyho","Serene indoor pool area with modern design and spiral staircase.","hotel spa luxury"
3757640,"https://images.pexels.com/photos/3757640/pexels-photo-3757640.jpeg","https://images.pexels.com/photos/3757640/pexels-photo-3757640.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3757640/pexels-photo-3757640.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3757640/pexels-photo-3757640.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Andrea Piacquadio","https://www.pexels.com/@olly","A serene moment as a woman relaxes in a poolside setting at a luxurious resort, enjoying the summer vibes.","hotel spa luxury"
3610006,"https://images.pexels.com/photos/3610006/pexels-photo-3610006.jpeg","https://images.pexels.com/photos/3610006/pexels-photo-3610006.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3610006/pexels-photo-3610006.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3610006/pexels-photo-3610006.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Castorly Stock","https://www.pexels.com/@castorlystock","A close-up of rolled white towels on a wooden bath tray in a modern bathroom.","hotel spa luxury"
3673978,"https://images.pexels.com/photos/3673978/pexels-photo-3673978.jpeg","https://images.pexels.com/photos/3673978/pexels-photo-3673978.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3673978/pexels-photo-3673978.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3673978/pexels-photo-3673978.jpeg?auto=compress&cs=tinysrgb&h=130",5900,3933,"Andrea Piacquadio","https://www.pexels.com/@olly","A serene moment of relaxation and wellness in a Budapest, Hungary hotel spa.","hotel spa luxury"
16113326,"https://images.pexels.com/photos/16113326/pexels-photo-16113326.jpeg","https://images.pexels.com/photos/16113326/pexels-photo-16113326.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/16113326/pexels-photo-16113326.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/16113326/pexels-photo-16113326.jpeg?auto=compress&cs=tinysrgb&h=130",5544,3119,"Hongyue  Stone-Jon Lee","https://www.pexels.com/@hongyue-stone-jon-lee-504232700","Elegant bathroom featuring a marble sink, bathtub, and mirror with ambient lighting.","hotel spa luxury"
3469074,"https://images.pexels.com/photos/3469074/pexels-photo-3469074.jpeg","https://images.pexels.com/photos/3469074/pexels-photo-3469074.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/3469074/pexels-photo-3469074.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/3469074/pexels-photo-3469074.jpeg?auto=compress&cs=tinysrgb&h=130",4272,2848,"Nothing Ahead","https://www.pexels.com/@ian-panelo","Elegant poolside view at a modern luxury hotel with sleek lounge chairs.","hotel spa luxury"
18251621,"https://images.pexels.com/photos/18251621/pexels-photo-18251621.jpeg","https://images.pexels.com/photos/18251621/pexels-photo-18251621.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/18251621/pexels-photo-18251621.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/18251621/pexels-photo-18251621.jpeg?auto=compress&cs=tinysrgb&h=130",9496,6016,"Daniel Dolidze","https://www.pexels.com/@daniel-dolidze-713706614","A woman in a bathrobe enjoys a drink on a sunny balcony overlooking the ocean.","hotel spa luxury"
