id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
34652885,"https://images.pexels.com/photos/34652885/pexels-photo-34652885.jpeg","https://images.pexels.com/photos/34652885/pexels-photo-34652885.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34652885/pexels-photo-34652885.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34652885/pexels-photo-34652885.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3744,"Celeo Sun","https://www.pexels.com/@celeo","A breathtaking view of a mountain peak surrounded by dense forest and vibrant skies.","mountain peak summit"
34652895,"https://images.pexels.com/photos/34652895/pexels-photo-34652895.jpeg","https://images.pexels.com/photos/34652895/pexels-photo-34652895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34652895/pexels-photo-34652895.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34652895/pexels-photo-34652895.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3744,"Celeo Sun","https://www.pexels.com/@celeo","A dramatic mountain peak captures attention with its rugged formations and clear blue sky backdrop.","mountain peak summit"
34652881,"https://images.pexels.com/photos/34652881/pexels-photo-34652881.jpeg","https://images.pexels.com/photos/34652881/pexels-photo-34652881.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34652881/pexels-photo-34652881.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34652881/pexels-photo-34652881.jpeg?auto=compress&cs=tinysrgb&h=130",5616,3744,"Celeo Sun","https://www.pexels.com/@celeo","A breathtaking view of a mountain peak surrounded by lush forests and vibrant clouds.","mountain peak summit"
34652259,"https://images.pexels.com/photos/34652259/pexels-photo-34652259.jpeg","https://images.pexels.com/photos/34652259/pexels-photo-34652259.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34652259/pexels-photo-34652259.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34652259/pexels-photo-34652259.jpeg?auto=compress&cs=tinysrgb&h=130",5712,4284,"Manuela  Goller","https://www.pexels.com/@manuela-goller-277774885","","mountain peak summit"
34652255,"https://images.pexels.com/photos/34652255/pexels-photo-34652255.jpeg","https://images.pexels.com/photos/34652255/pexels-photo-34652255.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34652255/pexels-photo-34652255.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34652255/pexels-photo-34652255.jpeg?auto=compress&cs=tinysrgb&h=130",4032,3024,"Manuela  Goller","https://www.pexels.com/@manuela-goller-277774885","Sunburst through mountain summit cross overlooking Alps and cloud sea.","mountain peak summit"
34649377,"https://images.pexels.com/photos/34649377/pexels-photo-34649377.jpeg","https://images.pexels.com/photos/34649377/pexels-photo-34649377.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34649377/pexels-photo-34649377.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34649377/pexels-photo-34649377.jpeg?auto=compress&cs=tinysrgb&h=130",3586,2017,"Gilles QUERTIER","https://www.pexels.com/@gilles","Stunning view of a snow-covered mountain peak against a clear blue sky, highlighting winter's beauty.","mountain peak summit"
34640410,"https://images.pexels.com/photos/34640410/pexels-photo-34640410.jpeg","https://images.pexels.com/photos/34640410/pexels-photo-34640410.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34640410/pexels-photo-34640410.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34640410/pexels-photo-34640410.jpeg?auto=compress&cs=tinysrgb&h=130",7952,5304,"Sergio Zhukov","https://www.pexels.com/@triemli","","mountain peak summit"
34639465,"https://images.pexels.com/photos/34639465/pexels-photo-34639465.jpeg","https://images.pexels.com/photos/34639465/pexels-photo-34639465.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34639465/pexels-photo-34639465.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34639465/pexels-photo-34639465.jpeg?auto=compress&cs=tinysrgb&h=130",3936,2624,"Pablo May","https://www.pexels.com/@elurias","A breathtaking view of a snow-capped mountain peak under cloudy skies, capturing natural beauty.","mountain peak summit"
34639401,"https://images.pexels.com/photos/34639401/pexels-photo-34639401.jpeg","https://images.pexels.com/photos/34639401/pexels-photo-34639401.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34639401/pexels-photo-34639401.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34639401/pexels-photo-34639401.jpeg?auto=compress&cs=tinysrgb&h=130",3936,2624,"Pablo May","https://www.pexels.com/@elurias","Stunning view of a snow-covered mountain peak against a cloudy sky, showcasing nature's beauty.","mountain peak summit"
34639464,"https://images.pexels.com/photos/34639464/pexels-photo-34639464.jpeg","https://images.pexels.com/photos/34639464/pexels-photo-34639464.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34639464/pexels-photo-34639464.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34639464/pexels-photo-34639464.jpeg?auto=compress&cs=tinysrgb&h=130",3936,2624,"Pablo May","https://www.pexels.com/@elurias","A stunning snow-covered mountain peak under a cloudy blue sky.","mountain peak summit"
