id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
8627423,"https://images.pexels.com/photos/8627423/pexels-photo-8627423.jpeg","https://images.pexels.com/photos/8627423/pexels-photo-8627423.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/8627423/pexels-photo-8627423.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/8627423/pexels-photo-8627423.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Irina Balashova","https://www.pexels.com/@irina-a-balashova","Kids in colorful outfits enjoying ski lessons on a snowy slope in Adlerskiy, Russia.","ski lesson instructor"
5940831,"https://images.pexels.com/photos/5940831/pexels-photo-5940831.jpeg","https://images.pexels.com/photos/5940831/pexels-photo-5940831.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/5940831/pexels-photo-5940831.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/5940831/pexels-photo-5940831.jpeg?auto=compress&cs=tinysrgb&h=130",3977,2651,"Kampus Production","https://www.pexels.com/@kampus","Students and teacher engaged in an active discussion inside a bright university library.","ski lesson instructor"
8520514,"https://images.pexels.com/photos/8520514/pexels-photo-8520514.jpeg","https://images.pexels.com/photos/8520514/pexels-photo-8520514.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/8520514/pexels-photo-8520514.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/8520514/pexels-photo-8520514.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Yan Krukau","https://www.pexels.com/@yankrukov","A young boy enjoying a piano lesson with a smiling teacher in a cozy indoor setting.","ski lesson instructor"
8423065,"https://images.pexels.com/photos/8423065/pexels-photo-8423065.jpeg","https://images.pexels.com/photos/8423065/pexels-photo-8423065.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/8423065/pexels-photo-8423065.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/8423065/pexels-photo-8423065.jpeg?auto=compress&cs=tinysrgb&h=130",5938,3964,"Pavel Danilyuk","https://www.pexels.com/@pavel-danilyuk","Confident female teacher smiling while holding a notebook in a classroom setting.","ski lesson instructor"
6929164,"https://images.pexels.com/photos/6929164/pexels-photo-6929164.jpeg","https://images.pexels.com/photos/6929164/pexels-photo-6929164.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6929164/pexels-photo-6929164.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6929164/pexels-photo-6929164.jpeg?auto=compress&cs=tinysrgb&h=130",3000,2000,"Polina Tankilevitch","https://www.pexels.com/@polina-tankilevitch","Elegant senior woman writing at office desk with computer, showcasing a professional work environment.","ski lesson instructor"
5212320,"https://images.pexels.com/photos/5212320/pexels-photo-5212320.jpeg","https://images.pexels.com/photos/5212320/pexels-photo-5212320.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/5212320/pexels-photo-5212320.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/5212320/pexels-photo-5212320.jpeg?auto=compress&cs=tinysrgb&h=130",5600,3733,"Max Fischer","https://www.pexels.com/@max-fischer","Confident female teacher standing with arms crossed in front of a detailed mathematical blackboard.","ski lesson instructor"
935943,"https://images.pexels.com/photos/935943/pexels-photo-935943.jpeg","https://images.pexels.com/photos/935943/pexels-photo-935943.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/935943/pexels-photo-935943.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/935943/pexels-photo-935943.jpeg?auto=compress&cs=tinysrgb&h=130",2048,1365,"nappy","https://www.pexels.com/@nappy","A female teacher standing by a whiteboard in a colorful classroom setting.","ski lesson instructor"
5212325,"https://images.pexels.com/photos/5212325/pexels-photo-5212325.jpeg","https://images.pexels.com/photos/5212325/pexels-photo-5212325.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/5212325/pexels-photo-5212325.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/5212325/pexels-photo-5212325.jpeg?auto=compress&cs=tinysrgb&h=130",6400,4267,"Max Fischer","https://www.pexels.com/@max-fischer","Smiling female teacher standing in front of a mathematical blackboard, illustrating complex equations and teaching concepts.","ski lesson instructor"
6929190,"https://images.pexels.com/photos/6929190/pexels-photo-6929190.jpeg","https://images.pexels.com/photos/6929190/pexels-photo-6929190.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6929190/pexels-photo-6929190.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6929190/pexels-photo-6929190.jpeg?auto=compress&cs=tinysrgb&h=130",3000,2000,"Polina Tankilevitch","https://www.pexels.com/@polina-tankilevitch","Close-up of hands writing in a notebook while studying documents on a wooden table.","ski lesson instructor"
5905455,"https://images.pexels.com/photos/5905455/pexels-photo-5905455.jpeg","https://images.pexels.com/photos/5905455/pexels-photo-5905455.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/5905455/pexels-photo-5905455.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/5905455/pexels-photo-5905455.jpeg?auto=compress&cs=tinysrgb&h=130",5815,3877,"Katerina Holmes","https://www.pexels.com/@katerina-holmes","Rear view of a professional woman writing on a classroom whiteboard, focusing on lecture preparation.","ski lesson instructor"
