id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query,source,product_code,product_title,category,is_cover
22803P7-57,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/36/86.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/36/86.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/36/86.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/36/86.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,true
22803P7-58,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/35/64.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/35/64.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/35/64.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/35/64.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P7-59,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4f.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4f.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4f.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4f.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P7-60,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/2b/7a.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/2b/7a.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/2b/7a.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/2b/7a.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P7-61,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/31/0e.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/31/0e.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/31/0e.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/31/0e.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P7-62,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4d.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4d.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4d.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/4d.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P7-63,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/50.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/50.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/50.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/12/5a/37/50.jpg,720,480,Viator,,Telluride Morning Half Day Rafting Trip - San Miguel River,Telluride Morning Half Day Rafting Trip - San Miguel River,viator,22803P7,Telluride Morning Half Day Rafting Trip - San Miguel River,water,false
22803P28-64,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6e/ff.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6e/ff.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6e/ff.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6e/ff.jpg,720,480,Viator,,Telluride Afternoon Half Day Rafting Trip - San Miguel River,Telluride Afternoon Half Day Rafting Trip - San Miguel River,viator,22803P28,Telluride Afternoon Half Day Rafting Trip - San Miguel River,water,true
22803P28-65,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6f/00.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6f/00.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6f/00.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/16/9c/6f/00.jpg,720,480,Viator,,Telluride Afternoon Half Day Rafting Trip - San Miguel River,Telluride Afternoon Half Day Rafting Trip - San Miguel River,viator,22803P28,Telluride Afternoon Half Day Rafting Trip - San Miguel River,water,false
22803P28-66,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/d3/f4/23.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/d3/f4/23.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/d3/f4/23.jpg,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/15/d3/f4/23.jpg,720,480,Viator,,Telluride Afternoon Half Day Rafting Trip - San Miguel River,Telluride Afternoon Half Day Rafting Trip - San Miguel River,viator,22803P28,Telluride Afternoon Half Day Rafting Trip - San Miguel River,water,false
