id,original_url,large_url,medium_url,small_url,width,height,photographer,photographer_url,alt,query
34598785,"https://images.pexels.com/photos/34598785/pexels-photo-34598785.jpeg","https://images.pexels.com/photos/34598785/pexels-photo-34598785.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/34598785/pexels-photo-34598785.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/34598785/pexels-photo-34598785.jpeg?auto=compress&cs=tinysrgb&h=130",5934,3956,"Andreas Ebner","https://www.pexels.com/@andreas-ebner-246992646","Desolate winter road stretching into the snowy horizon under an overcast sky.","winter drive road"
7443420,"https://images.pexels.com/photos/7443420/pexels-photo-7443420.jpeg","https://images.pexels.com/photos/7443420/pexels-photo-7443420.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/7443420/pexels-photo-7443420.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/7443420/pexels-photo-7443420.jpeg?auto=compress&cs=tinysrgb&h=130",5464,3640,"Mikhail Nilov","https://www.pexels.com/@mikhail-nilov","A serene winter landscape showing a snow-covered road through mountains at sunrise in Altai, Russia.","winter drive road"
2418667,"https://images.pexels.com/photos/2418667/pexels-photo-2418667.jpeg","https://images.pexels.com/photos/2418667/pexels-photo-2418667.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2418667/pexels-photo-2418667.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2418667/pexels-photo-2418667.jpeg?auto=compress&cs=tinysrgb&h=130",4096,2713,"Gül Işık","https://www.pexels.com/@ekrulila","Car driving through a serene winter forest with snow-covered trees and misty atmosphere.","winter drive road"
19715858,"https://images.pexels.com/photos/19715858/pexels-photo-19715858.jpeg","https://images.pexels.com/photos/19715858/pexels-photo-19715858.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/19715858/pexels-photo-19715858.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/19715858/pexels-photo-19715858.jpeg?auto=compress&cs=tinysrgb&h=130",7952,5304,"Joshua Woroniecki","https://www.pexels.com/@joshuaworoniecki","Stunning view of starry sky over a forest road in West Yellowstone, MT.","winter drive road"
31012030,"https://images.pexels.com/photos/31012030/pexels-photo-31012030.jpeg","https://images.pexels.com/photos/31012030/pexels-photo-31012030.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/31012030/pexels-photo-31012030.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/31012030/pexels-photo-31012030.jpeg?auto=compress&cs=tinysrgb&h=130",7866,5247,"Ali Kazal","https://www.pexels.com/@lureofadventure","White Jeep on a mountain road in Jasper National Park, Alberta, surrounded by pine trees and snow-capped peaks.","winter drive road"
2036544,"https://images.pexels.com/photos/2036544/pexels-photo-2036544.jpeg","https://images.pexels.com/photos/2036544/pexels-photo-2036544.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/2036544/pexels-photo-2036544.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/2036544/pexels-photo-2036544.jpeg?auto=compress&cs=tinysrgb&h=130",4608,2592,"Prime Cinematics","https://www.pexels.com/@prime-cinematics-1005175","A silver SUV is parked in front of stunning snow-covered mountains during daytime.","winter drive road"
7462880,"https://images.pexels.com/photos/7462880/pexels-photo-7462880.jpeg","https://images.pexels.com/photos/7462880/pexels-photo-7462880.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/7462880/pexels-photo-7462880.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/7462880/pexels-photo-7462880.jpeg?auto=compress&cs=tinysrgb&h=130",5249,3497,"Mikhail Nilov","https://www.pexels.com/@mikhail-nilov","A stunning view of a road winding through snowy mountains at sunset in Russia, with pine trees and a vehicle visible.","winter drive road"
845406,"https://images.pexels.com/photos/845406/pexels-photo-845406.jpeg","https://images.pexels.com/photos/845406/pexels-photo-845406.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/845406/pexels-photo-845406.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/845406/pexels-photo-845406.jpeg?auto=compress&cs=tinysrgb&h=130",5472,3648,"Oziel Gómez","https://www.pexels.com/@ozgomz","A vintage blue car with roof luggage in snowy Ak-Talaa, Kyrgyzstan.","winter drive road"
6478337,"https://images.pexels.com/photos/6478337/pexels-photo-6478337.jpeg","https://images.pexels.com/photos/6478337/pexels-photo-6478337.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6478337/pexels-photo-6478337.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6478337/pexels-photo-6478337.jpeg?auto=compress&cs=tinysrgb&h=130",3696,2448,"Skylar Kang","https://www.pexels.com/@skylar-kang","Experience a scenic winter drive through snow-covered Swiss Alps with breathtaking mountain views.","winter drive road"
6494665,"https://images.pexels.com/photos/6494665/pexels-photo-6494665.jpeg","https://images.pexels.com/photos/6494665/pexels-photo-6494665.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/6494665/pexels-photo-6494665.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/6494665/pexels-photo-6494665.jpeg?auto=compress&cs=tinysrgb&h=130",6720,4480,"KoolShooters","https://www.pexels.com/@koolshooters","Moody scene of a car driving through a foggy street at night with glowing headlights.","winter drive road"
7433142,"https://images.pexels.com/photos/7433142/pexels-photo-7433142.jpeg","https://images.pexels.com/photos/7433142/pexels-photo-7433142.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/7433142/pexels-photo-7433142.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/7433142/pexels-photo-7433142.jpeg?auto=compress&cs=tinysrgb&h=130",5464,3640,"Mikhail Nilov","https://www.pexels.com/@mikhail-nilov","A scenic winter road stretching through the snowy landscape of the Altai Mountains in Russia.","winter drive road"
956771,"https://images.pexels.com/photos/956771/pexels-photo-956771.jpeg","https://images.pexels.com/photos/956771/pexels-photo-956771.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/956771/pexels-photo-956771.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/956771/pexels-photo-956771.jpeg?auto=compress&cs=tinysrgb&h=130",6000,4000,"Thomas H.","https://www.pexels.com/@webdexter","Snowy landscape reflection in a car's side mirror, Ettal, Germany.","winter drive road"
7403875,"https://images.pexels.com/photos/7403875/pexels-photo-7403875.jpeg","https://images.pexels.com/photos/7403875/pexels-photo-7403875.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/7403875/pexels-photo-7403875.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/7403875/pexels-photo-7403875.jpeg?auto=compress&cs=tinysrgb&h=130",3960,2640,"Pavel Danilyuk","https://www.pexels.com/@pavel-danilyuk","View from inside a car driving on a snowy road through a picturesque winter landscape.","winter drive road"
10665594,"https://images.pexels.com/photos/10665594/pexels-photo-10665594.jpeg","https://images.pexels.com/photos/10665594/pexels-photo-10665594.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/10665594/pexels-photo-10665594.jpeg?auto=compress&cs=tinysrgb&h=350","https://images.pexels.com/photos/10665594/pexels-photo-10665594.jpeg?auto=compress&cs=tinysrgb&h=130",6240,3512,"Muhammed İKİTEPE","https://www.pexels.com/@muhammed-i-ki-tepe-155329832","Three rugged off-road vehicles on a snowy road at night, showcasing adventure and exploration.","winter drive road"
