id,name,pet_facilities,has_fee,fee_amount,policy_text,address,city
lp656eafa2,"2 BR Condominium - Luxury Skiin and out (rare to find)","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","457 Mountain Village Boulevard",Telluride
lp6575d72a,"2BR Mountain Lodge Luxury Skiin out Best Amenities","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","Mountain Village Boulevard 457",Telluride
lp656e6e23,"3br 3 1 2Ba Center of Everything New Listing On Our New Home","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","240 Mahoney Drive",Telluride
lpc6edd,"Bachman Village","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","Smuggler Avenue, Telluride, San Miguel County, Colorado",Telluride
lp65711a0b,"Bear Creek Lodge 108 by Alpine Lodging Telluride","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","135 San Joaquin Rd.",Telluride
lp65716532,"Bear Creek Lodge 111A by Alpine Lodging Telluride","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","135 San Joaquin Rd.",Telluride
lp65716402,"Bear Creek Lodge 207A by Alpine Lodging Telluride","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","135 San Joaquin Rd.",Telluride
lp657118eb,"Bear Creek Lodge 208 by Alpine Lodging Telluride","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","135 San Joaquin Rd.",Telluride
lp65767eda,"Beautiful Mountain Lodge Ski in Ski out","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","Mountain Village Boulevard 457",Telluride
lp657be103,"Blue Collar Boutique: Affordable Adventure","Pet bowls",Unknown,,"Pet fees and restrictions may apply. Contact property.","457 Mountain Village Boulevard",Telluride
lp6dfb6,"Element 52, Auberge Collection","Pets allowed; Pet bowls",Unknown,,"Pet fees and restrictions may apply. Contact property.","398 South Davis Street",Telluride
lp3d0c1,"Fairmont Heritage Place, Franz Klammer Lodge","Pets allowed; Pet bowls",Unknown,,"Pet fees and restrictions may apply. Contact property.","567 Mountain Village Boulevard",Telluride
lp31628,"Inn at Lost Creek","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","119 Lost Creek Lane",Telluride
lp6576e14e,"Lift 7 and Gondola 1block SaltWaterPoolHottub and Riverview","Pets allowed",Unknown,,"Pet fees and restrictions may apply. Contact property.","West Pacific Avenue 651",Telluride
lp4153f,"Lumiere by Dunton","Pets allowed; Pet bowls",Unknown,,"Pet fees and restrictions may apply. Contact property.","118 Lost Creek Lane ",Telluride
